Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24)
1.0360065139068552e-15,0.0033257888,0.2,0.0,0.009787790585785253,0.19999999958389192,0.19999999825575548,0.1999999999860729,0.19999999673778598,7.496619331647199e-38,2.2060906126469568e-30,2.3886784697393075e-55,2.0927895806442383e-72,8.322163025488581e-10,1.268037243624041e-14,8.510853810839819e-23,3.2622140668212013e-09,1.7442572122975261e-09,1.3914485182044492e-11,7.425856808144902e-25,5.83489869922861e-23,4.550874511331198e-23,4.003692257963576e-39,2.7074732877321972e-33,1.1426212620479527e-44,7.197135453311777e-45,6.480787946320089e-54,8.925800316645872e-94
1.372577158199764e-15,0.0033257888,0.2,0.0,0.009787788684505609,0.1999999994487097,0.19999999768909962,0.1999999999815487,0.19999999567805504,9.9330107693289e-38,2.9228017449678498e-30,1.6173727104523597e-54,2.5415618035209397e-71,1.1025807752424003e-09,1.6799880995918652e-14,1.4939593338245959e-22,4.321945021940417e-09,2.310917214657834e-09,1.843457586314019e-11,1.6702787172991333e-24,1.2470715645833434e-22,1.0213359577124575e-22,1.1503314195235891e-38,9.229884873756558e-33,5.6651530679169585e-44,3.6250024007548525e-44,4.446358628353365e-53,1.1032936041568549e-92
1.7091478024926728e-15,0.0033257888,0.2,0.0,0.009787786783263945,0.19999999931352752,0.19999999712244482,0.19999999997702464,0.1999999946183607,1.2371237500379343e-37,3.6395311624023744e-30,8.355933464424874e-54,2.2451418320059257e-70,1.3729451426974488e-09,2.0919387925359427e-14,2.3165628646260333e-22,5.3816393779559335e-09,2.8775761187032256e-09,2.295449431168592e-11,3.15836093383391e-24,2.2445286114262805e-22,1.926982709852218e-22,2.8575519822291325e-38,2.4533429848097934e-32,2.1299568539410158e-43,1.384139354008242e-43,2.3271119938083887e-52,1.0153940908699256e-91
2.3822890910784905e-15,0.0033257888,0.2,0.0,0.009787782980894532,0.19999999904316332,0.19999999598913856,0.1999999999679771,0.19999999249908176,1.7262398901801913e-37,5.0731057003283925e-30,1.4350287989634515e-52,9.313352415803552e-69,1.9136735618818096e-09,2.915839686710236e-14,4.501061239673199e-22,7.50091829727664e-09,4.010890631864233e-09,3.1993814534988964e-11,8.316022294438724e-24,5.3820669349255855e-22,5.051354128428467e-22,1.268994158865439e-37,1.1003185996358482e-31,1.8088830422417418e-42,1.2200232186440218e-42,4.123485407849228e-51,4.9926893599017545e-90
3.055430379664308e-15,0.0033257888,0.2,0.0,0.00978777917867701,0.19999999877279934,0.19999999485583664,0.1999999999589302,0.19999999037994923,2.2198085415419514e-37,6.506973643599348e-30,8.959863000151832e-52,8.612831481608728e-68,2.45440156007976e-09,3.739739920430725e-14,7.404802384330831e-22,9.620050834735002e-09,5.1442007518129465e-09,4.1032445903571966e-11,1.729782040613641e-23,1.0259709023879458e-21,1.0462066144883894e-21,3.958208019162919e-37,3.333935058322752e-31,7.944769655686975e-42,5.524489453081957e-42,2.627924019595085e-50,4.934156829089713e-89
3.728571668250125e-15,0.0033257888,0.2,0.0,0.009787775376611359,0.19999999850243552,0.19999999372253918,0.19999999994988402,0.19999998826096307,2.723377992919918e-37,7.941388608900673e-30,3.9929549840232597e-51,5.551610188486353e-67,2.9951291372679553e-09,4.563639487679382e-14,1.1028019872393699e-21,1.1739037000807064e-08,6.277506478583454e-09,5.0070388471785266e-11,3.124315200375345e-23,1.704550531196927e-21,1.881504232292837e-21,1.0035416783694477e-36,8.105368210843936e-31,2.6187944051734643e-41,1.8756122080251322e-41,1.2012321224518828e-49,3.4327250396131523e-88
5.0748542454217606e-15,0.0033257888,0.2,0.0,0.009787767772935637,0.1999999979617086,0.1999999914559574,0.1999999999317937,0.1999999840234298,3.823527112908025e-37,1.0813699816133347e-29,7.967684848042536e-50,2.4132255512457005e-65,4.07658302852426e-09,6.211436599337411e-14,2.0433792805199507e-21,1.5976570259559472e-08,8.54410475272245e-09,6.814420741866444e-11,7.845924132550419e-23,3.647818729164212e-21,4.67954942429081e-21,4.6666140814752586e-36,3.332728347513316e-30,2.025253419428211e-40,1.6559021608361424e-40,2.7821810367747074e-48,3.1174533705730106e-86
6.421136822593396e-15,0.0033257888,0.2,0.0,0.009787760169867292,0.19999999742098248,0.19999998918939318,0.19999999991370615,0.1999999797864819,5.193084673421138e-37,1.3694259695214665e-29,5.0311478301060115e-49,2.2253849910891576e-64,5.158035235469964e-09,7.859230975064947e-14,3.27201889239926e-21,2.021351815467103e-08,1.081068545454518e-08,8.621527179667917e-11,1.5879074336479523e-22,6.4076619369094746e-21,9.382063694424553e-21,1.465560163473246e-35,9.483717447184652e-30,8.40418242414415e-40,7.44813206836115e-40,1.874147453338404e-47,3.333645306252032e-85
9.113701976936666e-15,0.0033257888,0.2,0.0,0.009787744965552398,0.1999999963395328,0.19999998465631744,0.19999999987753936,0.19999997131434188,1.0445367003921895e-36,1.950971778970628e-29,1.0015801915894593e-47,9.767278183284766e-63,7.320934595712409e-09,1.1154811333717921e-13,6.594202665973704e-21,2.8685658175899375e-08,1.534379414228926e-08,1.2234913851693867e-10,4.538280292459903e-22,1.4397138288862375e-20,2.6297542550861034e-20,8.263806375831256e-35,4.454159856276996e-29,7.10118454648887e-39,7.678095399649289e-39,4.5986169757156295e-46,2.5290023598316526e-83
1.1806267131279937e-14,0.0033257888,0.2,0.0,0.009787729763666032,0.19999999525808648,0.19999998012331202,0.19999999984138356,0.19999996284454236,2.3435975081979447e-36,2.546151385428039e-29,6.592885246507157e-47,9.713446460323959e-62,9.483827216557868e-09,1.445038019283793e-13,1.1070791262068643e-20,3.7155457709641345e-08,1.9876832543914854e-08,1.5847199198099184e-10,9.865586046032267e-22,2.5718030808886905e-20,5.6125088497704e-20,2.838403548633521e-34,1.3427477785220434e-28,3.063713890649941e-38,3.7169165571125915e-38,3.3204983181716944e-45,2.878392596152537e-82
