Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH4(24),CH3OX(49),C2H3OX(99),SX(112)
7.300974049454573e-17,0.0005542981333333334,0.2,0.0,0.0016312990298792223,0.1999999999732309,0.19999999988778883,0.1999999999991047,0.19999999979012414,2.681131094025606e-44,6.160289678389833e-35,8.908051261512084e-65,1.0056663807239029e-84,5.353823798733266e-11,1.5243187738694906e-16,6.672221181463732e-27,2.0987581408088234e-10,1.1221137784834392e-10,8.951952690310835e-13,4.824650210467748e-29,4.751335298867897e-26,1.2853367484124339e-26,3.6022222457286247e-45,4.770334669037708e-39,3.2088188261592255e-52,1.0280130450885641e-52,3.441206932790996e-63,2.7047036259775096e-111,2.548199402958275e-50,8.184122388879728e-72,3.3702990291405624e-74
1.2168290125404235e-16,0.0005542981333333334,0.2,0.0,0.0016312987788658505,0.1999999999553848,0.19999999981298136,0.19999999999850782,0.19999999965020743,4.468701779560985e-44,1.0267162259398655e-34,1.3598148242174245e-62,4.4210695477306034e-82,8.923038328900356e-11,2.5405309092591133e-16,1.8444115025665623e-26,3.497925776165828e-10,1.870189477778119e-10,1.4919863980928989e-12,2.2946881475556347e-28,2.245894590348556e-25,6.111120685242473e-26,2.0431543126538592e-44,6.910745311189738e-38,1.4891888206966565e-50,4.7882748966064455e-51,5.2720137424972174e-61,2.3720873992920502e-108,1.1869086153931671e-48,1.2493639051572468e-69,1.4811105132961286e-71
2.1902922277303563e-16,0.0005542981333333334,0.2,0.0,0.0016312982768402703,0.1999999999196927,0.19999999966336646,0.19999999999731402,0.19999999937037496,8.049862140020626e-44,1.8481165471885179e-34,3.5785757036493695e-60,3.8915746696643444e-79,1.606146409317338e-10,4.572954240011729e-16,5.965022853768333e-26,6.296250268314247e-10,3.366340491515811e-10,2.6855548609477523e-12,1.378747236952789e-27,1.3323561383079008e-24,3.6694594037249043e-25,2.9512361385829027e-43,1.4330872220196565e-36,1.0923573568969018e-48,3.538077051544275e-49,1.3975237053049428e-58,4.173055922696709e-105,8.770331209073864e-47,3.288473012712689e-67,1.3028838099012037e-68
4.137218658110222e-16,0.0005542981333333334,0.2,0.0,0.001631297272793763,0.1999999998483085,0.19999999936413682,0.19999999999492657,0.19999999881071434,1.5515533089757522e-43,3.4915819515660725e-34,1.2557606152607017e-57,4.981286972066543e-76,3.033830243703563e-10,8.637797135017245e-16,2.1275030583311815e-25,1.1892856137395773e-09,6.35864097954577e-10,5.072636605139187e-12,9.492727908792833e-27,8.944361056017005e-24,2.5233050216606008e-24,7.010346728438717e-42,3.592817856786745e-35,1.0158594127060116e-46,3.3381693222053485e-47,4.97489307031557e-56,1.06808515583307e-101,8.275484628495584e-45,1.1547432666063538e-64,1.6656482551828585e-65
8.031071518869952e-16,0.0005542981333333334,0.2,0.0,0.0016312952647193583,0.1999999997055404,0.19999999876567814,0.1999999999901518,0.1999999976914104,4.701784313985978e-43,6.796881074468796e-34,5.007201802536034e-55,5.436305443209155e-73,5.889192638470586e-10,1.6767467808505771e-15,8.019984967742252e-25,2.3085895414249818e-09,1.2343235797770142e-09,9.846579373090012e-12,7.032827538192661e-26,6.309868176158462e-23,1.864854974092314e-23,1.962475193329359e-40,9.797010186712831e-34,1.0437737964439367e-44,3.527785324434357e-45,2.039888119581577e-53,2.3314921055823015e-98,8.748256894426996e-43,4.617084129304406e-62,1.816693422948503e-62
1.5818777240389414e-15,0.0005542981333333334,0.2,0.0,0.0016312912486449876,0.19999999942000518,0.19999999756876327,0.1999999999806032,0.19999999545287153,1.0257127120458838e-41,1.3919224217354572e-33,2.032492324162274e-52,1.2022066698505293e-69,1.1599896331572802e-09,3.3026748287058118e-15,3.1150253959004466e-24,4.547128414022024e-09,2.431240080319866e-09,1.9393582099389363e-11,5.411899539280717e-25,4.429528807476347e-22,1.4280734035101835e-22,5.7986393843076925e-39,2.7074126883422303e-32,1.0755421180696308e-42,3.834650192965159e-43,8.731334013514199e-51,1.0308987999965546e-94,9.520500004376647e-41,1.895827886331634e-59,3.990653776850943e-59
2.3606482961908874e-15,0.0005542981333333334,0.2,0.0,0.0016312872326698649,0.19999999913447142,0.19999999637185167,0.1999999999710557,0.19999999321442463,6.48306300869467e-41,2.3018638930076412e-33,2.234559253062466e-51,1.6351009236056485e-68,1.731057189561407e-09,4.92859470825892e-15,6.943809657613979e-24,6.785575312036685e-09,3.6281532967746085e-09,2.8939407842509832e-11,1.7005772251345347e-24,1.3107837224130824e-21,4.472756772775187e-22,3.2303144182031775e-38,1.4632601885392682e-31,8.683486618568269e-42,3.1464897784659616e-42,9.71594911003714e-50,1.5391657275843395e-93,7.81636996038818e-40,2.0931478524388322e-58,5.429068235128529e-58
3.1394188683428334e-15,0.0005542981333333334,0.2,0.0,0.0016312832167939871,0.19999999884893901,0.19999999517494335,0.19999999996150944,0.1999999909760697,2.5914108812027513e-40,3.719516794138419e-33,1.538245210424724e-50,2.04668401052418e-67,2.3021219329932e-09,6.5545063461466456e-15,1.2292611659843025e-23,9.023930238938993e-09,4.825063229209904e-09,3.848405673761994e-11,3.859974424801448e-24,2.814769533803077e-21,1.0120602431954552e-21,1.1493902302096954e-37,5.036137583161155e-31,4.3708363516980525e-41,1.6046961952977298e-41,6.762823141204905e-49,1.9563432612320264e-92,3.9894224635512626e-39,1.4491264150327627e-57,6.770597394412797e-57
3.91818944049478e-15,0.0005542981333333334,0.2,0.0,0.0016312792010173512,0.19999999856340805,0.19999999397803836,0.19999999995196432,0.19999998873780678,7.942836647641556e-40,6.177709563644236e-33,8.061876692437674e-50,1.8515080107513706e-66,2.8731838633850832e-09,8.180409666526357e-15,1.916583522148851e-23,1.1262193198344693e-08,6.021969877697756e-09,4.8027528924845726e-11,7.341413130174741e-24,5.074457991456984e-21,1.918880644446171e-21,3.1818910806291947e-37,1.3460219662864324e-30,1.6621750872160176e-40,6.180222573163895e-41,3.582606574775499e-48,1.8429544954396545e-91,1.5381317417000392e-38,7.654613928983331e-57,6.101874823150768e-56
5.475730584798672e-15,0.0005542981333333334,0.2,0.0,0.001631271169761788,0.19999999799235035,0.19999999158423817,0.19999999993287768,0.19999998426155668,4.607567903664643e-39,1.7662010600107266e-32,1.4171129128114002e-48,7.928844256721357e-65,4.015299284799982e-09,1.1432191073546466e-14,3.7501874043163435e-23,1.5738443228115033e-08,8.415773323099605e-09,6.711094369583517e-11,1.946455225187742e-23,1.2160194220516042e-20,5.05597437889419e-21,1.5465914674091397e-36,6.0626648150578714e-30,1.4332734426982512e-39,5.4882121245328956e-40,6.45724889151578e-47,9.361896608892758e-90,1.3714603756225946e-37,1.3879135621488687e-55,2.5926212215632903e-54
