Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),SX(62)
2.123333566962013e-16,0.0033257888,0.2,0.0,0.009787795521723278,0.1999999998774058,0.2,0.1999999999971454,0.199999999331369,1.536387380440254e-38,4.52120908810436e-31,4.847129522228347e-78,5.046366197762387e-95,2.4518846294287207e-10,2.5988904254077116e-15,3.348494013464542e-23,6.686310675005796e-10,2.5988904375288635e-15,2.8519921312578833e-12,2.317759765516871e-34,3.1187960851178503e-25,3.1186966996159106e-25,9.213262307274844e-41,2.898378567336015e-48,8.67729706487066e-61,2.5849664466763615e-55,4.583399694962797e-74,1.8393214271778517e-97
3.9597301706748783e-16,0.0033257888,0.2,0.0,0.009787794728933553,0.19999999977137836,0.2,0.19999999999467657,0.1999999987531052,2.8651548472234306e-38,8.431443973117228e-31,3.187247757799426e-76,1.347957368074654e-92,4.572433132738194e-10,4.846579055972935e-15,6.820738649428109e-23,1.246894858977321e-09,4.8465790785772445e-15,5.3185796247747515e-12,1.5411476355672414e-33,1.0841006821467415e-24,1.0840345979774756e-24,5.856170505129904e-40,1.5184018844837706e-47,1.5544934182861744e-59,1.7210256675829725e-54,1.1207897333621255e-72,2.2716477518088915e-95
7.632523378100609e-16,0.0033257888,0.2,0.0,0.009787793143386856,0.19999999955932357,0.2,0.1999999999897389,0.19999999759661025,5.522689777486112e-38,1.6251913706479538e-30,5.5967062966802666e-74,9.020018018701358e-90,8.813529105234844e-10,9.341955224692542e-15,1.536928203176015e-22,2.4033897957059506e-09,9.341955268263164e-15,1.0251753769077164e-11,1.1208012433757151e-32,4.0274898077910515e-24,4.027009212807742e-24,5.994886222484516e-39,2.001567633757068e-46,7.171523062942772e-58,1.2633420165471023e-53,3.1562428829629393e-71,7.747922193309686e-93
1.1305316585526339e-15,0.0033257888,0.2,0.0,0.00978779155788382,0.19999999934726884,0.2,0.19999999998480125,0.19999999644015887,8.180224703344003e-38,2.4072383391091112e-30,5.735114085876801e-73,1.1754717811581952e-88,1.3054623698798141e-09,1.3837329936891852e-14,2.605650884754836e-22,3.5598412052510326e-09,1.3837330001428782e-14,1.5184926789752893e-11,3.462872403232385e-32,8.83633376394793e-24,8.834848905218218e-24,2.3896233390816637e-38,9.898681063955455e-46,5.326050700054705e-57,3.9549936440650627e-53,1.7582388658378396e-70,9.742124564014503e-92
1.4978109792952068e-15,0.0033257888,0.2,0.0,0.009787789972424453,0.19999999913521416,0.2,0.1999999999798636,0.19999999528375098,1.0837759624797375e-37,3.189285302719971e-30,3.793687035378022e-72,1.3750385055804316e-87,1.7295716913283323e-09,1.8332703192609277e-14,3.8882341717088625e-22,4.716249089172249e-09,1.8332703278112513e-14,2.011809868682301e-11,7.788990772681237e-32,1.5510901070562744e-23,1.5507561213574912e-23,6.652548034791235e-38,3.3742980459108015e-45,2.601514579685039e-56,9.0927481917427e-53,6.3410832435401e-70,8.332024844025436e-91
1.8650903000377798e-15,0.0033257888,0.2,0.0,0.009787788387008748,0.1999999989231596,0.2,0.19999999997492593,0.19999999412738662,1.3495294541846723e-37,3.9713322615147706e-30,1.955460448664041e-71,1.2029304519410344e-86,2.1536808748540665e-09,2.2828074991884472e-14,5.384670072683028e-22,5.8726134490803355e-09,2.2828075098354012e-14,2.5051269460309273e-11,1.4728426086379159e-31,2.405146940522261e-23,2.4045154002686912e-23,1.508178292528399e-37,9.182349277287642e-45,9.894990371936548e-56,1.778000484467497e-52,1.8062535765599219e-69,5.516458283324639e-90
2.5996489415229257e-15,0.0033257888,0.2,0.0,0.00978778521630832,0.1999999984990506,0.2,0.1999999999650506,0.19999999181478845,1.881036436273697e-37,5.535426164835115e-30,3.52874034608173e-70,5.253696309615206e-85,3.0018988280816595e-09,3.181881422125511e-14,9.019070098599914e-22,8.185211602826921e-09,3.1818814369657225e-14,3.4917607636610764e-11,3.878063740693362e-31,4.6731638889384166e-23,4.671501029188763e-23,5.330087060946428e-37,4.4411474350162416e-44,9.043668529385717e-55,5.250231654695633e-52,1.0040406683019328e-68,1.5681725997173336e-88
3.3342075830080716e-15,0.0033257888,0.2,0.0,0.009787782045782529,0.19999999807494193,0.2,0.19999999995517528,0.19999998950236442,2.4125434166024747e-37,7.099520049508156e-30,2.2941464526221442e-69,5.0732763475643555e-84,3.850116229442488e-09,4.08095476253216e-14,1.3508786897385793e-21,1.0497635679403716e-08,4.0809547815656306e-14,4.478394131883162e-11,8.066688215778111e-31,7.687906960354048e-23,7.684448107990127e-23,1.3874813254874486e-36,1.4348121962561922e-43,4.193603899094278e-54,1.2670873312089122e-51,3.733357695796002e-68,1.2530832967124673e-87
4.0687662244932175e-15,0.0033257888,0.2,0.0,0.009787778875431356,0.1999999976508335,0.2,0.19999999994529996,0.1999999871901144,2.9440503951727685e-37,8.663613916134717e-30,1.069856364144782e-68,3.43338891142571e-83,4.698333078810097e-09,4.9800275204418543e-14,1.8853753028403404e-21,1.2809885692404007e-08,4.980027543668582e-14,5.465027050715531e-11,1.4570125843177547e-30,1.1449610658601031e-22,1.144336330435067e-22,3.012076317131714e-36,3.7144309243334816e-43,1.4615851123966275e-53,2.750636204517459e-51,1.149747598111266e-67,7.066739127776894e-87
5.537883507463509e-15,0.0033257888,0.2,0.0,0.009787772535252818,0.19999999680261749,0.2,0.19999999992554932,0.1999999825661365,4.007064347053687e-37,1.1791801598914083e-29,2.7306209750469106e-67,1.9229709671737556e-81,6.39476512107345e-09,6.778171288900577e-14,3.2109170846426814e-21,1.7433863580572504e-08,6.778171320513813e-14,7.438291540282494e-11,3.6590019671533814e-30,2.1214812709354167e-22,2.1199124015545224e-22,1.0389736364994659e-35,1.7953195393670296e-42,1.3943608685384407e-52,1.2006017167948672e-50,1.2554671750438883e-66,2.7354879129767654e-85
