Time (s),Volume (m^3),N2,Ne,X(1),H2(2),CO(3),CO2(4),H2O(5),CH2O(6),HCOOH(7),CH3OH(8),HCOOCH3(9),H*(10),O*(11),OH*(12),H2O*(13),CO*(14),CO2*(15),HCO*(16),HCOO*(17),COOH*(18),HCOOH*(19),CH2O*(20),CH3O*(21),CH3O2*(22),CH3OH*(23),CH3OX(49)
9.429708124366692e-17,0.0005542981333333334,0.2,0.0,0.0016312990347738597,0.1999999999502997,0.2,0.1999999999988436,0.1999999997289312,3.462856852037357e-44,7.95643483448995e-35,2.120084798260405e-74,6.380652364510162e-89,9.940068435078877e-11,1.9687621247102366e-16,4.486611215180906e-26,2.710688495453144e-10,1.9687621255130046e-16,1.156212613245034e-12,2.59332198287388e-34,3.422372867925099e-24,4.187777996821116e-26,2.0542505251785416e-42,4.260004484807287e-43,7.75413126212808e-56,1.7265653937258598e-56,2.251935636476609e-70,6.17103000482976e-54
1.4458885826222986e-16,0.0005542981333333334,0.2,0.0,0.0016312988365738109,0.19999999992379286,0.2,0.19999999999822685,0.19999999958436168,5.309713861058626e-44,1.2199866773646214e-34,1.6843283383751403e-72,1.6873927314038632e-86,1.524143645704357e-10,3.0187682329132394e-16,7.779909561626108e-26,4.156383615868404e-10,3.0187682341441504e-16,1.7728592352099876e-12,9.479786410198361e-34,1.2507912359997623e-23,1.53067017342401e-25,1.8997217921512514e-41,3.945696987103476e-42,2.005369657171716e-54,4.473243330008727e-55,1.7911163105967574e-68,1.6026886001703603e-52
2.451724122993557e-16,0.0005542981333333334,0.2,0.0,0.0016312984401748866,0.1999999998707792,0.2,0.19999999999699333,0.1999999992952238,9.00342814396895e-44,2.0686730676629235e-34,2.943812359436136e-70,7.249628298502994e-84,2.58441686340214e-10,5.118779683851799e-16,1.6251126288449416e-25,7.047762511148518e-10,5.118779685938994e-16,3.0061522500325676e-12,4.752395863244124e-33,6.267797248905109e-23,7.672281027058275e-25,3.0070899485404183e-40,6.246979023613454e-41,1.0362730661822589e-52,2.32109376221023e-53,3.1383175667735027e-66,8.363101008786154e-51
4.463395203736074e-16,0.0005542981333333334,0.2,0.0,0.0016312976473817314,0.19999999976475197,0.2,0.19999999999452633,0.19999999871695257,1.6390868616617935e-43,3.766045924761887e-34,8.455732885100471e-68,8.428734967026421e-81,4.704961752013743e-10,9.318799523931147e-16,4.0731846476024826e-25,1.2830474920636961e-09,9.318799527730913e-16,5.47273736317078e-12,2.9495572379988113e-32,3.8866838680883265e-22,4.760373661526367e-24,6.625643713146974e-39,1.3757650041416389e-39,8.080905350834009e-51,1.8246684901112476e-51,9.058939158618161e-64,6.649555479604769e-49
8.486737365221108e-16,0.0005542981333333334,0.2,0.0,0.0016312960618141965,0.1999999995526978,0.2,0.19999999998959234,0.19999999756042824,3.116638121734946e-43,7.160793791825992e-34,3.176329276635748e-65,1.135719288390986e-77,8.946045341868233e-10,1.7718826957064912e-15,1.198458965063231e-24,2.4395718218286365e-09,1.7718826964289807e-15,1.0405903922680055e-11,2.067469584568829e-31,2.719545454919812e-21,3.3348652028238465e-23,1.7470897260597886e-37,3.623528010419903e-38,7.768182045867438e-49,1.7808747374728053e-49,3.4348275975305624e-61,6.638566921967758e-47
1.6533421688191176e-15,0.0005542981333333334,0.2,0.0,0.0016312928907542218,0.19999999912859068,0.2,0.19999999997972434,0.19999999524745218,6.075403274880948e-43,1.395035280445981e-33,1.3673152532516595e-62,1.778064508450017e-74,1.742818777017194e-09,3.4518832836427697e-15,3.9868046692388256e-24,4.75254787499659e-09,3.4518832850502802e-15,2.0272222368716422e-11,1.5461572078157567e-30,2.0266615661173486e-20,2.4912023903201775e-22,5.061609886097315e-36,1.0473439036060993e-36,8.132168610583867e-47,1.9148982138691297e-47,1.503620185643017e-58,7.465629297468776e-45
2.4580106011161244e-15,0.0005542981333333334,0.2,0.0,0.0016312897197943732,0.1999999987044852,0.2,0.19999999996985637,0.19999999293457293,9.05264550625968e-43,2.0740165037288938e-33,1.5335441713721542e-61,2.4294516835069485e-73,2.591029719404934e-09,5.131877340141316e-15,8.383186426390659e-24,7.0654271224181625e-09,5.131877342233839e-15,3.0138521243045127e-11,4.817379762673631e-30,6.299489952404975e-20,7.756043029414202e-22,2.8171783731225587e-35,5.823055505224757e-36,6.64792969398274e-46,1.5772586960394615e-46,1.692572339588818e-57,6.235608790293469e-44
3.262679033413131e-15,0.0005542981333333334,0.2,0.0,0.0016312865489346469,0.19999999828038137,0.2,0.19999999995998843,0.1999999906217905,1.2089853266259542e-42,2.7530659448927456e-33,1.0800857225250786e-60,3.049442278299804e-72,3.439237360993575e-09,6.811864865411132e-15,1.4387534065503175e-23,9.378209567916736e-09,6.811864868188657e-15,4.00048005350117e-11,1.088469867248443e-29,1.4201257072363815e-19,1.7511977637285645e-21,1.0044883558223655e-34,2.073850268312241e-35,3.409549708356868e-45,8.133850925790442e-46,1.1960865381774423e-56,3.2543354596813216e-43
4.067347465710138e-15,0.0005542981333333334,0.2,0.0,0.0016312833781750391,0.19999999785627923,0.2,0.19999999995012047,0.19999998830910487,1.5279940002672074e-42,3.43226288650603e-33,5.818869839986703e-60,2.794409698420958e-71,4.2874417014144275e-09,8.491845859667748e-15,2.199977517608636e-23,1.1690895215436975e-08,8.49184586313026e-15,4.9871060233707206e-11,2.0641635118994985e-29,2.687037061126501e-19,3.318587390926226e-21,2.792253803410397e-34,5.757654153072008e-35,1.3293590391639777e-44,3.186300074974289e-45,6.464578863026265e-56,1.2904435897282382e-42
5.6766843303041514e-15,0.0005542981333333334,0.2,0.0,0.0016312770369561662,0.19999999700807983,0.2,0.19999999993038464,0.1999999836840239,2.2993951125101776e-42,4.7916760611744285e-33,1.1139812926207779e-58,1.2716795120071686e-69,5.983840477385903e-09,1.1851788255939723e-14,4.204766952836407e-23,1.6315976131156528e-08,1.1851788260772146e-14,6.960352081145621e-11,5.45374710145914e-29,7.067463337378269e-19,8.755568391035586e-21,1.3751329416747437e-33,2.8274174290734723e-34,1.23383741065928e-43,2.9829656179922477e-44,1.246787971045421e-54,1.2467188687930427e-41
